TVID,TABLENAME,VARNAME,NEWVARNAME,VARTYPE,VARDEFAULT,SELECT,DESCRIPTION
1,VARSELECT,UID,UID,integer,-1,1,R output file
2,VARSELECT,MODELID,MODELID,integer,-1,1,R output file
3,VARSELECT,SOLTYPE,SOLTYPE,integer,-1,1,R output file
4,VARSELECT,SOLNUM,SOLNUM,integer,-1,1,R output file
5,VARSELECT,KVAR,KVAR,integer,-1,1,R output file
6,VARSELECT,VARNUM,VARNUM,integer,-1,1,R output file
7,VARSELECT,VARNAME,VARNAME,string,-1,1,R output file
8,XVARSELV1,TVID,TVID,integer,,1,
9,XVARSELV1,VARNAME,VARNAME,string,,1,
10,XVARSELV1,XVARSEL,XVARSEL,string,,1,X if X-variable - Y if Y-variable - otherwise N (not X or Y)
11,CTABULATION,VARSET,VARSET,integer,-1,1,The R variable set number
12,CTABULATION,REFCLASS,REFCLASS,integer,-1,1,Actual class assigned to observation originally
13,CTABULATION,PREDCLASS,PREDCLASS,integer,-1,1,Predicted class assigned to observation
14,CTABULATION,CTAB,CTAB,integer,-1,1,Number of observations assigned to both REFCLASS and PREDCLASS
15,MINMAXCOR,VARSET,VARSET,integer,-1,1,The R variable set number
16,MINMAXCOR,VARNO,VARNO,integer,-1,1,The number of variables included in the variable set
17,MINMAXCOR,MAXCOR,MAXCOR,float,-1,1,Maximum correlation coefficient amongst all pairs of variables
18,MINMAXCOR,MINCOR,MINCOR,float,-1,1,Minimum correlation coefficient amongst all pairs of variables
19,POSTERIOR,VARSET,VARSET,integer,-1,1,The R variable set number
20,POSTERIOR,NVAR,NVAR,integer,-1,1,The number of variables included in the variable set
21,POSTERIOR,UERROR,UERROR,float,-1,1,Posterior error of estimation
22,CTABSUM,VARSET,VARSET,integer,-1,1,The R variable set number
23,CTABSUM,OA,OA,float,-1,1,Overall error percent
24,CTABSUM,KHAT,KHAT,float,-1,1,Cohen's 1960 KHAT statistic
25,CTABSUM,MINPA,MINPA,float,-1,1,Minimum producer's classification success rate (1-omission error)
26,CTABSUM,MAXPA,MAXPA,float,-1,1,Maximum producer's  classification success rate (1-omission error)
27,CTABSUM,MINUA,MINUA,float,-1,1,Minimum user's classification success rate (1-comission error)
28,CTABSUM,MAXUA,MAXUA,float,-1,1,Maximum user's classification success rate (1-omission error)
29,DFUNCT,VARSET3,VARSET3,integer,,1,This corresponds to a system of classification and provides a key link with VARSET in the tables above.
30,DFUNCT,VARNAMES3,VARNAMES3,string,,1,These are the actual variable names used in the equations to classify a given object or establish a nearest neighbour
31,DFUNCT,FUNCLABEL3,FUNCLABEL3,string,,1,These are labels to identify each unique discriminant function within a a VARSET3
32,DFUNCT,DFCOEF3,DFCOEF3,float,,1,These are the coefficients assigned to each variable name within each dscriminant function for a given variable set
33,BWRATIO,VARSET4,VARSET4,integer,,1,This corresponds to a system of classification and provides a key link with VARSET3 in the DFUNC table
34,BWRATIO,FUNCLABEL4,FUNCLABEL4,string,,1,This corrsponds with FUNCLABEL3 in the DFUNC table
35,BWRATIO,BTWTWCR4,BTWTWCR4,float,,1,Between to with variance ratios (sqrt of eigen values associated with each discriminant function)
36,LVINEW,LVI_FCOID,LVI_FCOID,integer,,0,
37,LVINEW,CLASS,CLASS,string,,0,
38,LVINEW,LVI_PROP_PL,LVI_PROP_PL,continuous,,0,
39,LVINEW,LVI_PROP_SX,LVI_PROP_SX,continuous,,0,
40,LVINEW,LVI_PROP_AT,LVI_PROP_AT,continuous,,0,
41,LVINEW,LVI_PROP_FD,LVI_PROP_FD,continuous,,0,
42,LVINEW,LVI_HT_PL,LVI_HT_PL,continuous,,1,
43,LVINEW,LVI_HT_SX,LVI_HT_SX,continuous,,1,
44,LVINEW,LVI_HT_AT,LVI_HT_AT,continuous,,1,
45,LVINEW,LVI_HT_FD,LVI_HT_FD,continuous,,1,
46,LVINEW,LVI_AGE_PL,LVI_AGE_PL,continuous,,1,
47,LVINEW,LVI_AGE_SX,LVI_AGE_SX,continuous,,1,
48,LVINEW,LVI_AGE_AT,LVI_AGE_AT,continuous,,1,
49,LVINEW,LVI_AGE_FD,LVI_AGE_FD,continuous,,1,
50,LVINEW,LVI_SI_PL,LVI_SI_PL,continuous,,1,
51,LVINEW,LVI_SI_SX,LVI_SI_SX,continuous,,1,
52,LVINEW,LVI_SI_AT,LVI_SI_AT,continuous,,1,
53,LVINEW,LVI_SI_FD,LVI_SI_FD,continuous,,1,
54,LVINEW,LVI_BA_PL,LVI_BA_PL,continuous,,1,
55,LVINEW,LVI_BA_SX,LVI_BA_SX,continuous,,1,
56,LVINEW,LVI_BA_AT,LVI_BA_AT,continuous,,1,
57,LVINEW,LVI_BA_FD,LVI_BA_FD,continuous,,1,
58,LVINEW,LVI_VOL_PL,LVI_VOL_PL,continuous,,1,
59,LVINEW,LVI_VOL_SX,LVI_VOL_SX,continuous,,1,
60,LVINEW,LVI_VOL_AT,LVI_VOL_AT,continuous,,1,
61,LVINEW,LVI_VOL_FD,LVI_VOL_FD,continuous,,1,
62,LVINEW,SBPS,SBPS,dummy,,0,
63,LVINEW,MS,MS,dummy,,0,
64,LVINEW,IDF,IDF,dummy,,0,
65,LVINEW,ESSF,ESSF,dummy,,0,
66,LVINEW,SBPSdc,SBPSdc,dummy,,0,
67,LVINEW,SBPSmc,SBPSmc,dummy,,0,
68,LVINEW,SBPSmk,SBPSmk,dummy,,0,
69,LVINEW,SBPSxc,SBPSxc,dummy,,0,
70,LVINEW,IDFdk,IDFdk,dummy,,0,
71,LVINEW,IDFxm,IDFxm,dummy,,0,
72,LVINEW,MSxv,MSxv,dummy,,0,
73,LVINEW,ESSFxv,ESSFxv,dummy,,0,
74,LVINEW,LVI_DSPH,LVI_DSPH,continuous,,0,
75,LVINEW,LVI_DVPH,LVI_DVPH,continuous,,1,
76,LVINEW,LVI_AGE1,LVI_AGE1,continuous,,0,
77,LVINEW,LVI_AGE2,LVI_AGE2,continuous,,0,
78,LVINEW,LVI_HT1,LVI_HT1,continuous,,0,
79,LVINEW,LVI_HT2,LVI_HT2,continuous,,0,
80,LVINEW,LVI_CCPCT,LVI_CCPCT,continuous,,0,
81,LVINEW,LVI_BPH,LVI_BPH,continuous,,0,
82,LVINEW,LVI_LSPH,LVI_LSPH,continuous,,0,
83,LVINEW,SP_AT,SP_AT,continuous,,0,
84,LVINEW,SP_FD,SP_FD,continuous,,0,
85,LVINEW,SP_PL,SP_PL,continuous,,0,
86,LVINEW,SP_SX,SP_SX,continuous,,0,
87,LVINEW,SP_PL_P,SP_PL_P,continuous,,0,
88,LVINEW,SP_SX_P,SP_SX_P,continuous,,0,
89,LVINEW,SP_FD_P,SP_FD_P,continuous,,0,
90,LVINEW,SP_AT_P,SP_AT_P,continuous,,0,
91,LVINEW,VRI_PROP_PL,VRI_PROP_PL,continuous,,0,
92,LVINEW,VRI_PROP_SX,VRI_PROP_SX,continuous,,0,
93,LVINEW,VRI_PROP_AT,VRI_PROP_AT,continuous,,0,
94,LVINEW,VRI_PROP_FD,VRI_PROP_FD,continuous,,0,
95,LVINEW,VRI_HT_PL,VRI_HT_PL,continuous,,0,
96,LVINEW,VRI_HT_SX,VRI_HT_SX,continuous,,0,
97,LVINEW,VRI_HT_AT,VRI_HT_AT,continuous,,0,
98,LVINEW,VRI_HT_FD,VRI_HT_FD,continuous,,0,
99,LVINEW,VRI_AGE_PL,VRI_AGE_PL,continuous,,0,
100,LVINEW,VRI_AGE_SX,VRI_AGE_SX,continuous,,0,
101,LVINEW,VRI_AGE_AT,VRI_AGE_AT,continuous,,0,
102,LVINEW,VRI_AGE_FD,VRI_AGE_FD,continuous,,0,
103,LVINEW,VRI_BA_PL,VRI_BA_PL,continuous,,0,
104,LVINEW,VRI_BA_SX,VRI_BA_SX,continuous,,0,
105,LVINEW,VRI_BA_AT,VRI_BA_AT,continuous,,0,
106,LVINEW,VRI_BA_FD,VRI_BA_FD,continuous,,0,
107,LVINEW,VRI_VOL_PL,VRI_VOL_PL,continuous,,0,
108,LVINEW,VRI_VOL_SX,VRI_VOL_SX,continuous,,0,
109,LVINEW,VRI_VOL_AT,VRI_VOL_AT,continuous,,0,
110,LVINEW,VRI_VOL_FD,VRI_VOL_FD,continuous,,0,
111,LVINEW,VRI_SI_PL,VRI_SI_PL,continuous,,0,
112,LVINEW,VRI_SI_SX,VRI_SI_SX,continuous,,0,
113,LVINEW,VRI_SI_AT,VRI_SI_AT,continuous,,0,
114,LVINEW,VRI_SI_FD,VRI_SI_FD,continuous,,0,
115,LVINEW,VRI_LEAD_SP,VRI_LEAD_SP,string,,0,
116,LVINEW,VRI_DSPH,VRI_DSPH,continuous,,0,
117,LVINEW,VRI_DVPH,VRI_DVPH,continuous,,0,
118,LVINEW,VRI_AGE1,VRI_AGE1,continuous,,0,
119,LVINEW,VRI_AGE2,VRI_AGE2,continuous,,0,
120,LVINEW,VRI_HT1,VRI_HT1,continuous,,0,
121,LVINEW,VRI_HT2,VRI_HT2,continuous,,0,
122,LVINEW,VRI_CCPCT,VRI_CCPCT,continuous,,0,
123,LVINEW,VRI_BPH,VRI_BPH,continuous,,0,
124,LVINEW,VRI_LSPH,VRI_LSPH,continuous,,0,
125,LVINEW,VRI_DEAD_P,VRI_DEAD_P,continuous,,0,
126,LVINEW,PEM_SS,PEM_SS,dummy,,0,
127,LVINEW,PEM_CLASS,PEM_CLASS,dummy,,0,
128,LVINEW,OBJECTID,OBJECTID,integer,,0,
129,LVINEW,SEGMENT_AREA,SEGMENT_AREA,continuous,,0,
130,LVINEW,FEATURE_ID,FEATURE_ID,integer,,0,
131,LVINEW,TEIS_ID,TEIS_ID,integer,,0,
132,LVINEW,LANDSAT_ID,LANDSAT_ID,integer,,0,
133,LVINEW,N_PIXELS,N_PIXELS,count,,0,
134,LVINEW,Mean_b1,Mean_b1,continuous,,0,
135,LVINEW,sd_b1,sd_b1,continuous,,0,
136,LVINEW,Mean_b2,Mean_b2,continuous,,0,
137,LVINEW,sd_b2,sd_b2,continuous,,0,
138,LVINEW,Mean_b3,Mean_b3,continuous,,0,
139,LVINEW,sd_b3,sd_b3,continuous,,0,
140,LVINEW,Mean_b4,Mean_b4,continuous,,0,
141,LVINEW,sd_b4,sd_b4,continuous,,0,
142,LVINEW,Mean_b5,Mean_b5,continuous,,0,
143,LVINEW,sd_b5,sd_b5,continuous,,0,
144,LVINEW,Mean_b6,Mean_b6,continuous,,0,
145,LVINEW,sd_b6,sd_b6,continuous,,0,
146,LVINEW,TOA1_MEAN,TOA1_MEAN,continuous,,0,
147,LVINEW,TOA1_STDEV,TOA1_STDEV,continuous,,0,
148,LVINEW,TOA1_MAX,TOA1_MAX,continuous,,0,
149,LVINEW,TOA2_MEAN,TOA2_MEAN,continuous,,0,
150,LVINEW,TOA2_STDEV,TOA2_STDEV,continuous,,0,
151,LVINEW,TOA2_MAX,TOA2_MAX,continuous,,0,
152,LVINEW,TOA3_MEAN,TOA3_MEAN,continuous,,0,
153,LVINEW,TOA3_STDEV,TOA3_STDEV,continuous,,0,
154,LVINEW,TOA3_MAX,TOA3_MAX,continuous,,0,
155,LVINEW,TOA4_MEAN,TOA4_MEAN,continuous,,0,
156,LVINEW,TOA4_STDEV,TOA4_STDEV,continuous,,0,
157,LVINEW,TOA4_MAX,TOA4_MAX,continuous,,0,
158,LVINEW,TOA5_MEAN,TOA5_MEAN,continuous,,0,
159,LVINEW,TOA5_STDEV,TOA5_STDEV,continuous,,0,
160,LVINEW,TOA5_MAX,TOA5_MAX,continuous,,0,
161,LVINEW,TOA7_MEAN,TOA7_MEAN,continuous,,0,
162,LVINEW,TOA7_STDEV,TOA7_STDEV,continuous,,0,
163,LVINEW,TOA7_MAX,TOA7_MAX,continuous,,0,
164,LVINEW,DEM_MEAN,DEM_MEAN,continuous,,0,
165,LVINEW,DEM_STDEV,DEM_STDEV,continuous,,0,
166,LVINEW,SLOPE_MEAN,SLOPE_MEAN,continuous,,0,
167,LVINEW,SLOPE_STDEV,SLOPE_STDEV,continuous,,0,
168,LVINEW,ASPECT_MEAN,ASPECT_MEAN,continuous,,0,
169,LVINEW,ASPECT_STDEV,ASPECT_STDEV,continuous,,0,
170,LVINEW,BRIGHT_MEAN,BRIGHT_MEAN,continuous,,0,
171,LVINEW,BRIGHT_STDEV,BRIGHT_STDEV,continuous,,0,
172,LVINEW,GREEN_MEAN,GREEN_MEAN,continuous,,0,
173,LVINEW,GREEN_STDEV,GREEN_STDEV,continuous,,0,
174,LVINEW,WET_MEAN,WET_MEAN,continuous,,0,
175,LVINEW,WET_STDEV,WET_STDEV,continuous,,0,
176,LVINEW,centX,centX,continuous,,0,
177,LVINEW,centY,centY,continuous,,0,
178,LVINEW,L_4923,L_4923,dummy,,0,
179,LVINEW,L_4824,L_4824,dummy,,0,
180,LVINEW,L_4924,L_4924,dummy,,0,
181,LVINEW,CLASS1,CLASS1,nominal,,0,
182,LVINEW,CLASS2,CLASS2,nominal,,0,
183,LVINEW,CLASS3,CLASS3,nominal,,0,
184,LVINEW,CLASS4,CLASS4,nominal,,0,
185,LVINEW,CLASS5,CLASS5,nominal,,0,
186,LVINEW,CLASS6,CLASS6,nominal,,0,
187,LVINEW,CLASS7,CLASS7,nominal,,0,
188,LVINEW,CLASS8,CLASS8,nominal,,0,
189,LVINEW,CLASS9,CLASS9,nominal,,0,
190,LVINEW,CLASS10,CLASS10,nominal,,0,
191,LVINEW,CLASS11,CLASS11,nominal,,0,
192,LVINEW,CLASS12,CLASS12,nominal,,0,
193,QTARGET,TFCOID,TFCOID,integer,,0,
194,QTARGET,CLASS,CLASS,string,,0,
195,QTARGET,LVI_PROP_PL,LVI_PROP_PL,continuous,,0,
196,QTARGET,LVI_PROP_SX,LVI_PROP_SX,continuous,,0,
197,QTARGET,LVI_PROP_AT,LVI_PROP_AT,continuous,,0,
198,QTARGET,LVI_PROP_FD,LVI_PROP_FD,continuous,,0,
199,QTARGET,LVI_HT_PL,LVI_HT_PL,continuous,,1,
200,QTARGET,LVI_HT_SX,LVI_HT_SX,continuous,,1,
201,QTARGET,LVI_HT_AT,LVI_HT_AT,continuous,,1,
202,QTARGET,LVI_HT_FD,LVI_HT_FD,continuous,,1,
203,QTARGET,LVI_AGE_PL,LVI_AGE_PL,continuous,,1,
204,QTARGET,LVI_AGE_SX,LVI_AGE_SX,continuous,,1,
205,QTARGET,LVI_AGE_AT,LVI_AGE_AT,continuous,,1,
206,QTARGET,LVI_AGE_FD,LVI_AGE_FD,continuous,,1,
207,QTARGET,LVI_SI_PL,LVI_SI_PL,continuous,,1,
208,QTARGET,LVI_SI_SX,LVI_SI_SX,continuous,,1,
209,QTARGET,LVI_SI_AT,LVI_SI_AT,continuous,,1,
210,QTARGET,LVI_SI_FD,LVI_SI_FD,continuous,,1,
211,QTARGET,LVI_BA_PL,LVI_BA_PL,continuous,,1,
212,QTARGET,LVI_BA_SX,LVI_BA_SX,continuous,,1,
213,QTARGET,LVI_BA_AT,LVI_BA_AT,continuous,,1,
214,QTARGET,LVI_BA_FD,LVI_BA_FD,continuous,,1,
215,QTARGET,LVI_VOL_PL,LVI_VOL_PL,continuous,,1,
216,QTARGET,LVI_VOL_SX,LVI_VOL_SX,continuous,,1,
217,QTARGET,LVI_VOL_AT,LVI_VOL_AT,continuous,,1,
218,QTARGET,LVI_VOL_FD,LVI_VOL_FD,continuous,,1,
219,QTARGET,SBPS,SBPS,dummy,,0,
220,QTARGET,MS,MS,dummy,,0,
221,QTARGET,IDF,IDF,dummy,,0,
222,QTARGET,ESSF,ESSF,dummy,,0,
223,QTARGET,SBPSdc,SBPSdc,dummy,,0,
224,QTARGET,SBPSmc,SBPSmc,dummy,,0,
225,QTARGET,SBPSmk,SBPSmk,dummy,,0,
226,QTARGET,SBPSxc,SBPSxc,dummy,,0,
227,QTARGET,IDFdk,IDFdk,dummy,,0,
228,QTARGET,IDFxm,IDFxm,dummy,,0,
229,QTARGET,MSxv,MSxv,dummy,,0,
230,QTARGET,ESSFxv,ESSFxv,dummy,,0,
231,QTARGET,LVI_DSPH,LVI_DSPH,continuous,,0,
232,QTARGET,LVI_DVPH,LVI_DVPH,continuous,,1,
233,QTARGET,LVI_AGE1,LVI_AGE1,continuous,,0,
234,QTARGET,LVI_AGE2,LVI_AGE2,continuous,,0,
235,QTARGET,LVI_HT1,LVI_HT1,continuous,,0,
236,QTARGET,LVI_HT2,LVI_HT2,continuous,,0,
237,QTARGET,LVI_CCPCT,LVI_CCPCT,continuous,,0,
238,QTARGET,LVI_BPH,LVI_BPH,continuous,,0,
239,QTARGET,LVI_LSPH,LVI_LSPH,continuous,,0,
240,QTARGET,SP_AT,SP_AT,continuous,,0,
241,QTARGET,SP_FD,SP_FD,continuous,,0,
242,QTARGET,SP_PL,SP_PL,continuous,,0,
243,QTARGET,SP_SX,SP_SX,continuous,,0,
244,QTARGET,SP_PL_P,SP_PL_P,continuous,,0,
245,QTARGET,SP_SX_P,SP_SX_P,continuous,,0,
246,QTARGET,SP_FD_P,SP_FD_P,continuous,,0,
247,QTARGET,SP_AT_P,SP_AT_P,continuous,,0,
248,QTARGET,VRI_PROP_PL,VRI_PROP_PL,continuous,,0,
249,QTARGET,VRI_PROP_SX,VRI_PROP_SX,continuous,,0,
250,QTARGET,VRI_PROP_AT,VRI_PROP_AT,continuous,,0,
251,QTARGET,VRI_PROP_FD,VRI_PROP_FD,continuous,,0,
252,QTARGET,VRI_HT_PL,VRI_HT_PL,continuous,,0,
253,QTARGET,VRI_HT_SX,VRI_HT_SX,continuous,,0,
254,QTARGET,VRI_HT_AT,VRI_HT_AT,continuous,,0,
255,QTARGET,VRI_HT_FD,VRI_HT_FD,continuous,,0,
256,QTARGET,VRI_AGE_PL,VRI_AGE_PL,continuous,,0,
257,QTARGET,VRI_AGE_SX,VRI_AGE_SX,continuous,,0,
258,QTARGET,VRI_AGE_AT,VRI_AGE_AT,continuous,,0,
259,QTARGET,VRI_AGE_FD,VRI_AGE_FD,continuous,,0,
260,QTARGET,VRI_BA_PL,VRI_BA_PL,continuous,,0,
261,QTARGET,VRI_BA_SX,VRI_BA_SX,continuous,,0,
262,QTARGET,VRI_BA_AT,VRI_BA_AT,continuous,,0,
263,QTARGET,VRI_BA_FD,VRI_BA_FD,continuous,,0,
264,QTARGET,VRI_VOL_PL,VRI_VOL_PL,continuous,,0,
265,QTARGET,VRI_VOL_SX,VRI_VOL_SX,continuous,,0,
266,QTARGET,VRI_VOL_AT,VRI_VOL_AT,continuous,,0,
267,QTARGET,VRI_VOL_FD,VRI_VOL_FD,continuous,,0,
268,QTARGET,VRI_SI_PL,VRI_SI_PL,continuous,,0,
269,QTARGET,VRI_SI_SX,VRI_SI_SX,continuous,,0,
270,QTARGET,VRI_SI_AT,VRI_SI_AT,continuous,,0,
271,QTARGET,VRI_SI_FD,VRI_SI_FD,continuous,,0,
272,QTARGET,VRI_LEAD_SP,VRI_LEAD_SP,string,,0,
273,QTARGET,VRI_DSPH,VRI_DSPH,continuous,,0,
274,QTARGET,VRI_DVPH,VRI_DVPH,continuous,,0,
275,QTARGET,VRI_AGE1,VRI_AGE1,continuous,,0,
276,QTARGET,VRI_AGE2,VRI_AGE2,continuous,,0,
277,QTARGET,VRI_HT1,VRI_HT1,continuous,,0,
278,QTARGET,VRI_HT2,VRI_HT2,continuous,,0,
279,QTARGET,VRI_CCPCT,VRI_CCPCT,continuous,,0,
280,QTARGET,VRI_BPH,VRI_BPH,continuous,,0,
281,QTARGET,VRI_LSPH,VRI_LSPH,continuous,,0,
282,QTARGET,VRI_DEAD_P,VRI_DEAD_P,continuous,,0,
283,QTARGET,PEM_SS,PEM_SS,dummy,,0,
284,QTARGET,PEM_CLASS,PEM_CLASS,dummy,,0,
285,QTARGET,OBJECTID,OBJECTID,integer,,0,
286,QTARGET,SEGMENT_AREA,SEGMENT_AREA,continuous,,0,
287,QTARGET,FEATURE_ID,FEATURE_ID,integer,,0,
288,QTARGET,TEIS_ID,TEIS_ID,integer,,0,
289,QTARGET,LANDSAT_ID,LANDSAT_ID,integer,,0,
290,QTARGET,N_PIXELS,N_PIXELS,count,,0,
291,QTARGET,Mean_b1,Mean_b1,continuous,,0,
292,QTARGET,sd_b1,sd_b1,continuous,,0,
293,QTARGET,Mean_b2,Mean_b2,continuous,,0,
294,QTARGET,sd_b2,sd_b2,continuous,,0,
295,QTARGET,Mean_b3,Mean_b3,continuous,,0,
296,QTARGET,sd_b3,sd_b3,continuous,,0,
297,QTARGET,Mean_b4,Mean_b4,continuous,,0,
298,QTARGET,sd_b4,sd_b4,continuous,,0,
299,QTARGET,Mean_b5,Mean_b5,continuous,,0,
300,QTARGET,sd_b5,sd_b5,continuous,,0,
301,QTARGET,Mean_b6,Mean_b6,continuous,,0,
302,QTARGET,sd_b6,sd_b6,continuous,,0,
303,QTARGET,TOA1_MEAN,TOA1_MEAN,continuous,,0,
304,QTARGET,TOA1_STDEV,TOA1_STDEV,continuous,,0,
305,QTARGET,TOA1_MAX,TOA1_MAX,continuous,,0,
306,QTARGET,TOA2_MEAN,TOA2_MEAN,continuous,,0,
307,QTARGET,TOA2_STDEV,TOA2_STDEV,continuous,,0,
308,QTARGET,TOA2_MAX,TOA2_MAX,continuous,,0,
309,QTARGET,TOA3_MEAN,TOA3_MEAN,continuous,,0,
310,QTARGET,TOA3_STDEV,TOA3_STDEV,continuous,,0,
311,QTARGET,TOA3_MAX,TOA3_MAX,continuous,,0,
312,QTARGET,TOA4_MEAN,TOA4_MEAN,continuous,,0,
313,QTARGET,TOA4_STDEV,TOA4_STDEV,continuous,,0,
314,QTARGET,TOA4_MAX,TOA4_MAX,continuous,,0,
315,QTARGET,TOA5_MEAN,TOA5_MEAN,continuous,,0,
316,QTARGET,TOA5_STDEV,TOA5_STDEV,continuous,,0,
317,QTARGET,TOA5_MAX,TOA5_MAX,continuous,,0,
318,QTARGET,TOA7_MEAN,TOA7_MEAN,continuous,,0,
319,QTARGET,TOA7_STDEV,TOA7_STDEV,continuous,,0,
320,QTARGET,TOA7_MAX,TOA7_MAX,continuous,,0,
321,QTARGET,DEM_MEAN,DEM_MEAN,continuous,,0,
322,QTARGET,DEM_STDEV,DEM_STDEV,continuous,,0,
323,QTARGET,SLOPE_MEAN,SLOPE_MEAN,continuous,,0,
324,QTARGET,SLOPE_STDEV,SLOPE_STDEV,continuous,,0,
325,QTARGET,ASPECT_MEAN,ASPECT_MEAN,continuous,,0,
326,QTARGET,ASPECT_STDEV,ASPECT_STDEV,continuous,,0,
327,QTARGET,BRIGHT_MEAN,BRIGHT_MEAN,continuous,,0,
328,QTARGET,BRIGHT_STDEV,BRIGHT_STDEV,continuous,,0,
329,QTARGET,GREEN_MEAN,GREEN_MEAN,continuous,,0,
330,QTARGET,GREEN_STDEV,GREEN_STDEV,continuous,,0,
331,QTARGET,WET_MEAN,WET_MEAN,continuous,,0,
332,QTARGET,WET_STDEV,WET_STDEV,continuous,,0,
333,QTARGET,centX,centX,continuous,,0,
334,QTARGET,centY,centY,continuous,,0,
335,QTARGET,L_4923,L_4923,dummy,,0,
336,QTARGET,L_4824,L_4824,dummy,,0,
337,QTARGET,L_4924,L_4924,dummy,,0,
338,QTARGET,CLASS1,CLASS1,nominal,,0,
339,QTARGET,CLASS2,CLASS2,nominal,,0,
340,QTARGET,CLASS3,CLASS3,nominal,,0,
341,QTARGET,CLASS4,CLASS4,nominal,,0,
342,QTARGET,CLASS5,CLASS5,nominal,,0,
343,QTARGET,CLASS6,CLASS6,nominal,,0,
344,QTARGET,CLASS7,CLASS7,nominal,,0,
345,QTARGET,CLASS8,CLASS8,nominal,,0,
346,QTARGET,CLASS9,CLASS9,nominal,,0,
347,QTARGET,CLASS10,CLASS10,nominal,,0,
348,QTARGET,CLASS11,CLASS11,nominal,,0,
349,QTARGET,CLASS12,CLASS12,nominal,,0,
